accuracy- frame/model,yolov5,ssd,retinanet
1,0.554,0.116,0.001
2,0.562,0.114,0.001
4,0.547,0.114,0.001
8,0.569,0.115,0.001
16,0.556,0.114,0.001
32,0.557,0.116,0.001
