recall- frame/model,yolov5,ssd,retinanet
1,0.745,0.683,0.034
2,0.743,0.657,0.063
4,0.738,0.677,0.053
8,0.752,0.674,0.061
16,0.754,0.671,0.056
32,0.756,0.679,0.055
