Scaling Factor,INTER_NEAREST (kb),INTER_LINEAR (kb),INTER_CUBIC (kb),INTER_AREA (kb),INTER_LANCZOS4 (kb)
0.1,46.927734375,46.927734375,46.927734375,46.927734375,46.927734375
0.2,46.927734375,46.927734375,46.927734375,46.927734375,46.927734375
0.3,46.927734375,46.927734375,46.927734375,46.927734375,46.927734375
0.4,46.927734375,46.927734375,46.927734375,46.927734375,46.927734375
0.5,46.927734375,46.927734375,46.927734375,46.927734375,46.927734375
0.6,46.927734375,46.927734375,46.927734375,46.927734375,46.927734375
0.7,46.927734375,46.927734375,46.927734375,46.927734375,46.927734375
0.8,46.927734375,46.927734375,46.927734375,46.927734375,46.927734375
0.9,46.927734375,46.927734375,46.927734375,46.927734375,46.927734375
1,46.927734375,46.927734375,46.927734375,46.927734375,46.927734375
