Scaling Factor,INTER_NEAREST (kb),INTER_LINEAR (kb),INTER_CUBIC (kb),INTER_AREA (kb),INTER_LANCZOS4 (kb)
0.1,6075.052734375,6075.052734375,6075.052734375,6075.052734375,6075.052734375
0.2,6075.052734375,6075.052734375,6075.052734375,6075.052734375,6075.052734375
0.3,6075.052734375,6075.052734375,6075.052734375,6075.052734375,6075.052734375
0.4,6075.052734375,6075.052734375,6075.052734375,6075.052734375,6075.052734375
0.5,6075.052734375,6075.052734375,6075.052734375,6075.052734375,6075.052734375
0.6,6075.052734375,6075.052734375,6075.052734375,6075.052734375,6075.052734375
0.7,6075.052734375,6075.052734375,6075.052734375,6075.052734375,6075.052734375
0.8,6075.052734375,6075.052734375,6075.052734375,6075.052734375,6075.052734375
0.9,6075.052734375,6075.052734375,6075.052734375,6075.052734375,6075.052734375
1,6075.052734375,6075.052734375,6075.052734375,6075.052734375,6075.052734375
