Scaling Factor,INTER_NEAREST (PSNR),INTER_LINEAR (PSNR),INTER_CUBIC (PSNR),INTER_AREA (PSNR),INTER_LANCZOS4 (PSNR)
0.1,30.747569173087008,31.374595606745096,31.00791435255644,31.15953176210443,30.719667137197916
0.2,32.16105794249717,32.650995475452994,32.33116551094037,32.50818988126342,31.986236934708966
0.3,32.269188582249974,33.67798529328163,33.47773947347448,33.454795244898584,33.1046988580324
0.4,33.04428047590612,34.43433092693526,34.35854519657086,34.15757470733202,33.913006670265645
0.5,35.187089493699034,34.700771708911205,34.713487972873,34.87871614859858,34.16813145983067
0.6,33.414285248750154,35.81784191102707,36.04932180915407,35.32865464357389,35.51583319217202
0.7,33.174291173233904,36.07672767691725,36.817862794055436,35.75076938755381,36.42371617753593
0.8,33.80374204088496,36.41349770150841,37.695258577122544,36.2786527208351,37.50701323821265
0.9,33.260863841762,36.882859103967796,38.88199767246078,36.111462083990496,39.237877386876285
1,inf,inf,inf,inf,inf
