Scaling Factor,INTER_NEAREST (MAE),INTER_LINEAR (MAE),INTER_CUBIC (MAE),INTER_AREA (MAE),INTER_LANCZOS4 (MAE)
0.1,94.40426954732511,113.86215534979422,113.81976594650203,119.38558641975308,120.90389403292184
0.2,91.44181069958847,100.59177211934158,100.18218621399178,106.48350051440329,108.48836676954735
0.3,92.38561985596708,102.51572273662552,100.03085390946502,98.52231224279834,98.90296553497943
0.4,87.05185185185186,95.03527263374485,89.34099279835391,85.79832818930039,94.94828446502059
0.5,59.76923868312757,75.84154578189302,84.12791923868313,74.59663580246912,108.21368055555556
0.6,84.8399202674897,84.7727752057613,73.45196502057614,81.76497942386833,91.07292952674898
0.7,87.45606481481481,86.36137602880659,68.21482767489714,79.72604166666666,72.67515432098766
0.8,82.32527263374485,80.2465406378601,62.17723251028805,65.3775077160494,68.57669238683127
0.9,86.59384773662553,81.24975308641977,59.94443158436214,75.84970421810701,53.89581018518517
1,0.0,0.0,0.0,0.0,0.0
