Scaling Factor,INTER_NEAREST (kb),INTER_LINEAR (kb),INTER_CUBIC (kb),INTER_AREA (kb),INTER_LANCZOS4 (kb)
0.1,1733.255859375,1733.255859375,1733.255859375,1733.255859375,1733.255859375
0.2,1727.298828125,1727.298828125,1727.298828125,1727.298828125,1727.298828125
0.3,1731.052734375,1731.052734375,1731.052734375,1731.052734375,1731.052734375
0.4,1727.298828125,1727.298828125,1727.298828125,1727.298828125,1727.298828125
0.5,1728.052734375,1728.052734375,1728.052734375,1728.052734375,1728.052734375
0.6,1731.052734375,1731.052734375,1731.052734375,1731.052734375,1731.052734375
0.7,1728.052734375,1728.052734375,1728.052734375,1728.052734375,1728.052734375
0.8,1728.052734375,1728.052734375,1728.052734375,1728.052734375,1728.052734375
0.9,1728.052734375,1728.052734375,1728.052734375,1728.052734375,1728.052734375
1,1728.052734375,1728.052734375,1728.052734375,1728.052734375,1728.052734375
