Scaling Factor,INTER_NEAREST (PSNR),INTER_LINEAR (PSNR),INTER_CUBIC (PSNR),INTER_AREA (PSNR),INTER_LANCZOS4 (PSNR)
0.1,31.39768198555128,32.05312027225761,31.480812344244804,32.18041030079872,31.13960395673518
0.2,33.15853132509188,33.086797198676315,32.694647107329565,33.24471130631459,32.361318567865986
0.3,32.54709955265004,33.76651137439807,33.338224575715735,33.853664631326986,33.02639017125779
0.4,33.72058516324176,34.18805035843706,33.84038788451878,34.25944526277435,33.503085091752226
0.5,35.25957340397737,34.67202868005045,34.43420193464101,35.08006401705739,33.898638848348654
0.6,33.29821954727141,34.87970157218144,34.81545970761589,34.74615565256114,34.49093649920173
0.7,33.830304856183595,35.077491967296574,35.24791784198312,35.0361487882149,35.10606192105753
0.8,33.87072766867295,36.04375433246751,37.62555547834496,36.083485314757255,37.714398435776
0.9,33.37143562127494,36.46280207425447,38.70070628008059,35.8467186799541,39.642238749318544
1,inf,inf,inf,inf,inf
