FP- frame/model,yolov5,ssd,retinanet
1,2.0,17.5,184.6
2,2.0,17.5,184.6
4,1.95,17.425,190.075
8,1.825,17.225,186.488
16,1.9,17.15,190.506
32,1.703,17.406,187.447
