recall- frame/model,yolov5,ssd,retinanet
1,0.383,0.408,0.358
2,0.383,0.408,0.358
4,0.321,0.404,0.352
8,0.399,0.46,0.3
16,0.343,0.443,0.337
32,0.329,0.422,0.329
