Scaling Factor,INTER_NEAREST (kb),INTER_LINEAR (kb),INTER_CUBIC (kb),INTER_AREA (kb),INTER_LANCZOS4 (kb)
0.1,11.771484375,11.771484375,11.771484375,11.771484375,11.771484375
0.2,46.927734375,46.927734375,46.927734375,46.927734375,46.927734375
0.3,105.521484375,105.521484375,105.521484375,105.521484375,105.521484375
0.4,187.552734375,187.552734375,187.552734375,187.552734375,187.552734375
0.5,293.021484375,293.021484375,293.021484375,293.021484375,293.021484375
0.6,421.927734375,421.927734375,421.927734375,421.927734375,421.927734375
0.7,574.271484375,574.271484375,574.271484375,574.271484375,574.271484375
0.8,750.052734375,750.052734375,750.052734375,750.052734375,750.052734375
0.9,949.271484375,949.271484375,949.271484375,949.271484375,949.271484375
1,1171.927734375,1171.927734375,1171.927734375,1171.927734375,1171.927734375
