Scaling Factor,INTER_NEAREST (MSE),INTER_LINEAR (MSE),INTER_CUBIC (MSE),INTER_AREA (MSE),INTER_LANCZOS4 (MSE)
0.1,46.58287333333333,41.241855833333325,45.60514083333333,42.257504999999995,49.302255
0.2,33.63596166666667,29.881617499999997,32.72256833333334,31.18631583333333,35.66465666666666
0.3,32.59171249999999,24.743798333333334,26.643156666666663,25.814120833333334,29.128563333333325
0.4,27.613551666666666,21.732421666666664,22.774394166666667,22.49678666666666,25.136824166666663
0.5,17.149156666666666,21.01567916666667,21.8403275,19.100365000000004,24.5720925
0.6,25.72864666666667,16.844850000000005,16.697802499999998,18.33588333333333,18.44274166666667
0.7,27.536775,16.155467499999997,14.190738333333332,17.435018333333336,15.408325
0.8,23.80250583333333,15.369899166666666,11.680031666666666,15.472572500000002,12.026585833333332
0.9,26.82046333333333,14.112204166666668,9.2281325,16.221091666666666,8.171887499999999
1,0.0,0.0,0.0,0.0,0.0
