Scaling Factor,INTER_NEAREST (PSNR),INTER_LINEAR (PSNR),INTER_CUBIC (PSNR),INTER_AREA (PSNR),INTER_LANCZOS4 (PSNR)
0.1,31.44854087611181,31.977421610934414,31.540665596572573,31.871765093423413,31.202135772568095
0.2,32.86276512004839,33.37676258611041,32.98232977567284,33.19116288058764,32.608423133184374
0.3,32.999731802198674,34.196139934410645,33.87494682347942,34.01223022254912,33.48761295800564
0.4,33.719580914965164,34.759722379587416,34.55633527959346,34.609598708719275,34.12769953628423
0.5,35.78837592991656,34.90536931143658,34.73821214455337,35.320386943546715,34.22638219344755
0.6,34.02663418056567,35.86613212838533,35.90421040913156,35.49778523879629,35.4725487787063
0.7,33.73167284849596,36.04760830904677,36.61075368810674,35.71657952484776,36.25324930637162
0.8,34.364576806053954,36.264093425226164,37.4563634063948,36.23517834519948,37.32938005696764
0.9,33.84614084691189,36.63485509929988,38.47966539257505,36.03000282333364,39.007579816722476
1,inf,inf,inf,inf,inf
