cam3 - resolution,kilobytes
176x144,74
160x90,42
160x120,56
240x180,127
320x180,169
320x240,225
480x270,380
480x360,506
640x360,675
800x450,1055
800x600,1406
640x480,900
1024x640,1920
1280x800,3000
1024x768,2304
1280x720,2700
1280x960,3600
