cam1 - resolution,kilobytes
160x90,42
160x100,47
160x120,56
240x180,127
320x180,169
320x200,188
320x240,225
480x270,380
480x300,422
480x360,506
640x360,675
640x400,750
640x480,900
800x450,1055
800x500,1172
800x600,1406
1024x576,1728
1024x640,1920
1024x768,2304
1280x720,2700
1280x800,3000
1280x960,3600
1440x900,3797
1440x1080,4556
1920x1080,6075
