size,image_quality,1,2,4,8,16,32
14400,160x90,0,0,0,3,1,3
19200,160x120,0,0,3,1,2,3
25344,176x144,0,0,1,1,2,4
43200,240x180,0,0,1,1,3,5
57600,320x180,0,1,1,2,3,7
76800,320x240,0,1,1,3,4,9
129600,480x270,0,1,2,3,7,13
172800,480x360,1,1,3,7,11,24
230400,640x360,1,2,3,7,13,32
307200,640x480,1,2,4,10,17,41
360000,800x450,1,3,5,10,21,48
480000,800x600,2,4,7,13,28,63
655360,1024x640,2,5,9,20,41,160
786432,1024x768,3,6,11,25,45,164
921600,1280x720,3,7,13,31,54,260
1024000,1280x800,3,8,14,32,63,324
1228800,1280x960,4,9,16,40,80,393
