size,image_quality,1,2,4,8,16,32
14400,160x90,142,158,228,282,313,471
16000,160x100,137,155,251,258,310,348
19200,160x120,146,189,237,305,499,546
43200,240x180,177,245,294,380,532,849
57600,320x180,206,269,286,607,886,1376
64000,320x200,234,281,311,596,874,1056
76800,320x240,211,344,402,324,814,1052
129600,480x270,324,298,493,767,897,1379
144000,480x300,361,368,503,739,1123,595
172800,480x360,314,421,912,657,1157,666
230400,640x360,400,597,920,1069,1299,2000
256000,640x400,391,620,347,1016,1635,1876
307200,640x480,482,561,963,1027,1469,1932
360000,800x450,342,635,431,1368,1919,1514
400000,800x500,471,440,869,1538,1650,2423
480000,800x600,597,861,743,1328,1300,1327
589824,1024x576,611,994,456,1371,1888,2457
655360,1024x640,373,1129,1153,1515,1902,1637
786432,1024x768,811,1216,542,1672,2118,8812
921600,1280x720,890,472,1487,1742,2321,4439
1024000,1280x800,877,1924,1741,1952,2617,3293
1228800,1280x960,829,1412,1464,2463,2551,3716
1296000,1440x900,1107,1164,1718,1869,1719,3031
1555200,1440x1080,430,869,1167,1115,2883,4661
2073600,1920x1080,989,1274,1774,2541,3769,6609
