Scaling Factor,INTER_NEAREST (kb),INTER_LINEAR (kb),INTER_CUBIC (kb),INTER_AREA (kb),INTER_LANCZOS4 (kb)
0.1,38.021484375,38.021484375,38.021484375,38.021484375,38.021484375
0.2,151.927734375,151.927734375,151.927734375,151.927734375,151.927734375
0.3,341.771484375,341.771484375,341.771484375,341.771484375,341.771484375
0.4,607.552734375,607.552734375,607.552734375,607.552734375,607.552734375
0.5,949.271484375,949.271484375,949.271484375,949.271484375,949.271484375
0.6,1366.927734375,1366.927734375,1366.927734375,1366.927734375,1366.927734375
0.7,1860.521484375,1860.521484375,1860.521484375,1860.521484375,1860.521484375
0.8,2430.052734375,2430.052734375,2430.052734375,2430.052734375,2430.052734375
0.9,3075.521484375,3075.521484375,3075.521484375,3075.521484375,3075.521484375
1,3796.927734375,3796.927734375,3796.927734375,3796.927734375,3796.927734375
