accuracy- frame/model,yolov5,ssd,retinanet
1,0.645,0.188,0.005
2,0.674,0.19,0.005
4,0.676,0.188,0.005
8,0.687,0.193,0.005
16,0.679,0.191,0.005
32,0.67,0.188,0.005
