FN- frame/model,yolov5,ssd,retinanet
1,0.64,1.4,4.0
2,0.68,1.46,4.08
4,0.67,1.49,4.04
8,0.715,1.465,4.125
16,0.703,1.498,4.095
32,0.656,1.476,3.999
