TP- frame/model,yolov5,ssd,retinanet
1,4.52,3.76,1.16
2,4.58,3.8,1.18
4,4.58,3.76,1.21
8,4.605,3.855,1.195
16,4.617,3.822,1.225
32,4.57,3.75,1.228
