recall- frame/model,yolov5,ssd,retinanet
1,0.883,0.694,0.236
2,0.879,0.686,0.234
4,0.878,0.677,0.245
8,0.852,0.669,0.236
16,0.864,0.677,0.241
32,0.881,0.692,0.241
