FP- frame/model,yolov5,ssd,retinanet
1,2.48,15.68,239.4
2,2.18,15.68,239.8
4,2.11,15.73,238.39
8,2.005,15.65,239.935
16,2.078,15.682,238.73
32,2.149,15.786,238.331
