resolution,time(ms)
streamid_1/quality_1,1374.96
streamid_1/quality_2,1414.29
streamid_1/quality_3,1411.65
streamid_1/quality_4,1415.14
streamid_1/quality_5,1417.08
streamid_0/quality_1,1546.64
streamid_0/quality_2,1569.87
streamid_0/quality_3,1587.4
streamid_0/quality_4,1589.28
streamid_0/quality_5,1588.21
