resolution,time(ms)
160x90,1395.2
160x100,1374.95
160x120,1234.4
240x180,1262.52
320x180,1429.42
320x200,1436.93
320x240,1276.89
480x270,1434.84
480x300,1436.33
480x360,1302.84
640x360,1454.02
640x400,1465.02
640x480,1323.86
800x450,1483.23
800x500,1474.2
800x600,1345.73
1024x576,1493.91
1024x640,1495.4
1024x768,1393.56
1280x720,1552.4
1280x800,1537.47
1280x960,1441.85
1440x900,1574.06
1440x1080,1470.58
1920x1080,1712.3
