resolution,time(ms)
160x90,1352.84
160x120,1213.63
176x144,1093.73
240x180,1236.44
320x180,1391.57
320x240,1248.7
480x270,1409.57
480x360,1262.18
640x360,1424.89
640x480,1288.31
800x450,1444.65
800x600,1264.19
1024x640,1457.57
1024x768,1339.72
1280x720,1494.59
1280x800,1497.43
1280x960,1348.01
