resolution,time(ms)
160x90,1383.76
160x100,1374.0
160x120,1249.54
240x180,1268.69
320x180,1418.27
320x200,1404.48
320x240,1269.48
480x270,1435.66
480x300,1429.72
480x360,1293.08
640x360,1463.49
640x400,1467.42
640x480,1339.53
800x450,1503.9
800x500,1503.12
800x600,1365.74
1024x576,1545.48
1024x640,1577.33
1024x768,1442.75
1280x720,1562.05
1280x800,1614.44
1280x960,1515.37
1440x900,1663.36
1440x1080,1614.59
1920x1080,1805.71
