Scaling Factor,INTER_NEAREST (ms),INTER_LINEAR (ms),INTER_CUBIC (ms),INTER_AREA (ms),INTER_LANCZOS4 (ms)
0.1,0.0128173828125,0.014453125,0.02509765625,0.048291015625,0.0436279296875
0.2,0.0135009765625,0.0280517578125,0.04736328125,0.057568359375,0.0947509765625
0.3,0.01572265625,0.044091796875,0.0727783203125,0.13251953125,0.13837890625
0.4,0.0192138671875,0.067822265625,0.1143798828125,0.1350830078125,0.1973388671875
0.5,0.0240478515625,0.030712890625,0.1304443359375,0.01435546875,0.2601806640625
0.6,0.02939453125,0.1154541015625,0.15751953125,0.1943603515625,0.31875
0.7,0.036279296875,0.1488037109375,0.1931396484375,0.2514404296875,0.3836181640625
0.8,0.042822265625,0.1649169921875,0.2224853515625,0.267724609375,0.4606201171875
0.9,0.051806640625,0.1884521484375,0.26953125,0.3552490234375,0.5478271484375
1,0.01689453125,0.0162841796875,0.0169189453125,0.0173583984375,0.0169189453125
