Scaling Factor,INTER_NEAREST (MSE),INTER_LINEAR (MSE),INTER_CUBIC (MSE),INTER_AREA (MSE),INTER_LANCZOS4 (MSE)
0.1,44.139074074074074,37.82207284432871,42.50353117766203,38.61132233796297,46.236024305555546
0.2,33.16074833622685,28.68878833912037,31.63177915219908,29.364728732638888,34.448097511574076
0.3,32.47125723379629,24.422231264467595,27.2476294849537,24.86153356481481,29.664693648726846
0.4,28.288237485532413,21.91818757233796,24.016942997685188,22.167038845486108,26.468888527199077
0.5,18.231211660879634,21.361865234374996,22.657255497685185,19.58693070023148,25.524666521990746
0.6,26.757628761574075,17.167663845486114,17.038746744791666,18.599581886574075,19.184654224537038
0.7,28.38079173900463,16.503466073495368,14.040363136574076,17.437088035300924,15.301591796874998
0.8,25.12036530671296,15.727324218750002,11.33326316550926,15.576047453703703,11.347575954861112
0.9,28.01947048611111,14.296110387731485,9.06742404513889,16.29220920138889,7.542122034143519
1,0.0,0.0,0.0,0.0,0.0
