Scaling Factor,INTER_NEAREST (PSNR),INTER_LINEAR (PSNR),INTER_CUBIC (PSNR),INTER_AREA (PSNR),INTER_LANCZOS4 (PSNR)
0.1,30.11927415790786,30.74134361126864,30.29787259152625,30.461398738344606,30.030288288323113
0.2,31.391691403335066,31.941768967448176,31.63835166695933,31.718818229091386,31.342141085511873
0.3,31.514925049157405,32.763284973974685,32.476006748933685,32.62947593701153,32.12480774962092
0.4,32.2619104695252,33.524357460056486,33.38728586453535,33.2819001435922,32.94928636385759
0.5,34.39303841851869,33.73611057580529,33.836214580181036,33.98857584677979,33.27845024645306
0.6,32.62580658549441,34.849717568396365,35.04962020760832,34.38859168685825,34.50550873777406
0.7,32.381757531390356,35.193255793737755,35.87924296459532,34.84999621766305,35.42312996277047
0.8,33.03176321532542,35.45797790661937,36.7031858943702,35.41137294254493,36.47269156425141
0.9,32.59599574759715,35.899108330576844,37.76458626559806,35.30936256700801,38.158320517298264
1,inf,inf,inf,inf,inf
