Scaling Factor,INTER_NEAREST (MSE),INTER_LINEAR (MSE),INTER_CUBIC (MSE),INTER_AREA (MSE),INTER_LANCZOS4 (MSE)
0.1,44.41694110082305,38.55391589506173,43.958214763374485,38.30578883744857,48.011410236625515
0.2,34.7318554526749,30.575949845679013,33.51378009259259,30.717915380658432,36.15831610082305
0.3,35.117910493827154,26.77710468106995,29.942769547325106,26.64260596707819,32.335725823045266
0.4,30.93369958847736,23.781685185185186,26.240279578189302,23.928754372427985,28.890036265432098
0.5,20.437730709876544,23.061257458847738,23.853439557613168,21.23420550411523,26.8630563271605
0.6,29.822789094650204,18.563333333333333,17.493510545267494,19.714815843621402,19.30497659465021
0.7,31.601247427983537,17.51669315843622,13.798513888888888,18.73823302469136,14.34010468106996
0.8,27.948663065843625,16.84417541152263,10.423419238683126,16.409798868312755,9.766532921810699
0.9,31.156721707818924,14.91105144032922,8.052271347736625,17.440085648148145,6.002140946502059
1,0.0,0.0,0.0,0.0,0.0
