Scaling Factor,INTER_NEAREST (PSNR),INTER_LINEAR (PSNR),INTER_CUBIC (PSNR),INTER_AREA (PSNR),INTER_LANCZOS4 (PSNR)
0.1,31.655317145522666,32.27011865244953,31.70040314381216,32.298159506019935,31.317358982024377
0.2,32.72352375963897,33.27700403538013,32.87856945244915,33.25688621168457,32.54872163764501
0.3,32.67551693269297,33.85316744465729,33.367883930675355,33.875036590719546,33.0339774709535
0.4,33.226484972896266,34.368377351144204,33.94111902930369,34.341602691604926,33.523322738569725
0.5,35.02647688333359,34.50197376532399,34.35529349685145,34.86044344735169,33.83924938145458
0.6,33.38532103649891,35.44424397697814,35.7020338972824,35.18287636190729,35.27411081446066
0.7,33.13376134566054,35.69628238407672,36.732480458151805,35.403517254264266,36.5652803922615
0.8,33.66719322778339,35.86630605449316,37.950701550610795,35.979771028445086,38.23339942508272
0.9,33.19528605676897,36.3957209242276,39.07161959425377,35.71531747448726,40.347741712503584
1,inf,inf,inf,inf,inf
