Scaling Factor,INTER_NEAREST (kb),INTER_LINEAR (kb),INTER_CUBIC (kb),INTER_AREA (kb),INTER_LANCZOS4 (kb)
0.1,4556.302734375,4556.302734375,4556.302734375,4556.302734375,4556.302734375
0.2,4556.302734375,4556.302734375,4556.302734375,4556.302734375,4556.302734375
0.3,4556.302734375,4556.302734375,4556.302734375,4556.302734375,4556.302734375
0.4,4556.302734375,4556.302734375,4556.302734375,4556.302734375,4556.302734375
0.5,4556.302734375,4556.302734375,4556.302734375,4556.302734375,4556.302734375
0.6,4556.302734375,4556.302734375,4556.302734375,4556.302734375,4556.302734375
0.7,4556.302734375,4556.302734375,4556.302734375,4556.302734375,4556.302734375
0.8,4556.302734375,4556.302734375,4556.302734375,4556.302734375,4556.302734375
0.9,4556.302734375,4556.302734375,4556.302734375,4556.302734375,4556.302734375
1,4556.302734375,4556.302734375,4556.302734375,4556.302734375,4556.302734375
