size,image_quality,1,2,4,8,16,32,                               ,size,image_quality,1,2,4,8,16,32,                               ,size,image_quality,1,2,4,8,16,32
14400,160x90,269,281,414,496,566,621,,14400,160x90,143,153,224,284,341,346,,14400,160x90,11,11,13,19,23,38
19200,160x120,272,343,423,531,611,722,,19200,160x120,146,188,244,313,345,554,,19200,160x120,11,14,15,23,28,44
25344,176x144,275,353,482,573,615,816,,25344,176x144,148,197,288,353,533,777,,25344,176x144,11,14,18,25,33,50
43200,240x180,348,433,541,699,882,864,,43200,240x180,188,250,313,415,621,834,,43200,240x180,13,17,21,28,43,67
57600,320x180,416,497,594,678,823,875,,57600,320x180,226,273,303,502,679,597,,57600,320x180,14,19,24,35,54,87
76800,320x240,436,541,619,750,1083,872,,76800,320x240,242,330,406,566,825,1105,,76800,320x240,16,22,27,39,58,105
129600,480x270,504,607,628,709,873,1154,,129600,480x270,327,381,545,772,1108,1371,,129600,480x270,20,27,35,57,89,157
172800,480x360,551,612,708,767,928,1324,,172800,480x360,319,413,603,779,891,1345,,172800,480x360,25,35,51,77,124,219
230400,640x360,597,711,755,807,2417,1490,,230400,640x360,349,526,699,453,1387,1725,,230400,640x360,28,38,57,91,146,268
307200,640x480,556,676,770,907,1254,1859,,307200,640x480,413,488,807,1021,1385,1809,,307200,640x480,32,47,68,107,209,356
360000,800x450,617,714,753,946,2117,2127,,360000,800x450,477,649,741,1204,1569,2004,,360000,800x450,32,53,76,129,225,461
480000,800x600,664,714,853,1144,2574,2649,,480000,800x600,550,704,997,1235,1777,2296,,480000,800x600,36,63,92,150,291,632
655360,1024x640,787,803,953,1221,1999,3879,,655360,1024x640,552,818,1080,1494,1927,2704,,655360,1024x640,44,68,112,206,385,782
786432,1024x768,677,814,1004,1378,2169,3892,,786432,1024x768,635,890,1173,1826,2226,2958,,786432,1024x768,51,78,126,254,464,905
921600,1280x720,731,881,1121,1470,3460,4524,,921600,1280x720,687,949,1167,1698,1853,3021,,921600,1280x720,57,92,149,285,525,1151
1024000,1280x800,1032,842,1129,1682,3663,4877,,1024000,1280x800,489,1123,1294,1799,2450,3365,,1024000,1280x800,63,100,164,313,632,1245
1228800,1280x960,938,928,1304,1806,3239,6297,,1228800,1280x960,802,1235,1501,1931,2566,3834,,1228800,1280x960,66,115,187,370,789,1540
