Scaling Factor,INTER_NEAREST (MSE),INTER_LINEAR (MSE),INTER_CUBIC (MSE),INTER_AREA (MSE),INTER_LANCZOS4 (MSE)
0.1,50.76718393961589,43.24092508951822,48.46780344645183,41.86451263427734,52.21657969156901
0.2,32.674521382649736,31.072840881347652,34.10988667805989,31.181124877929683,37.11511993408203
0.3,35.74047241210938,26.804624430338542,29.586011759440105,26.87187906901041,32.02228393554687
0.4,26.91051076253256,24.858736673990883,26.625909423828126,24.636526489257815,28.801456197102873
0.5,18.82765757242839,22.064050801595048,23.396904500325522,20.173471577962236,26.26402130126953
0.6,30.403409322102863,21.461850484212242,21.952887471516927,22.009175618489586,23.58681335449219
0.7,28.954706319173177,17.29888610839844,15.22292277018229,18.255122884114588,16.75398966471354
0.8,25.767434183756514,16.545140075683598,12.464523315429688,16.41185506184896,12.87667694091797
0.9,28.816196187337248,15.100097147623696,10.167079671223958,17.223676554361983,9.02974904378255
1,0.0,0.0,0.0,0.0,0.0
