Scaling Factor,INTER_NEAREST (PSNR),INTER_LINEAR (PSNR),INTER_CUBIC (PSNR),INTER_AREA (PSNR),INTER_LANCZOS4 (PSNR)
0.1,31.074972871502233,31.77185384259733,31.27627022859641,31.912343211333685,30.952719397564387
0.2,32.98871126127081,33.20699399769638,32.802000842976575,33.19188582296499,32.43529492594433
0.3,32.59920072222169,33.84870634327074,33.41993935335711,33.83782324476831,33.07628056856417
0.4,33.831584200999075,34.176013069346006,33.87775910580546,34.215008843595704,33.536659146927555
0.5,35.38284069882019,34.69395112089298,34.43921958472952,35.08299720095953,33.937191389146726
0.6,33.30158074405341,34.814131958738194,34.715887096167656,34.70476585059043,34.404110904377156
0.7,33.51361196523725,35.75062221470354,36.30582316771161,35.51695600124851,35.889621176712396
0.8,34.02009185441336,35.94409912500543,37.174046865669894,35.97922687944543,37.03276560920708
0.9,33.534437086049756,36.341006194991664,38.05884134081071,35.769544996478544,38.57404680367797
1,inf,inf,inf,inf,inf
