Scaling Factor,INTER_NEAREST (ms),INTER_LINEAR (ms),INTER_CUBIC (ms),INTER_AREA (ms),INTER_LANCZOS4 (ms)
0.1,0.0471923828125,0.1069580078125,0.200830078125,0.8557861328125,0.6139404296875
0.2,0.0677001953125,0.3300537109375,0.70576171875,1.1253662109375,1.6382080078125
0.3,0.1531494140625,0.708935546875,1.3323974609375,2.7529541015625,2.664208984375
0.4,0.2201171875,1.2406005859375,1.9134521484375,2.8761962890625,3.7881591796875
0.5,0.2511474609375,0.328125,1.336083984375,0.226806640625,2.75751953125
0.6,0.349072265625,1.2702392578125,1.7162841796875,2.2510498046875,3.5236572265625
0.7,0.262548828125,1.2493896484375,1.4546630859375,1.9966796875,3.121728515625
0.8,0.25986328125,1.0165283203125,1.3444091796875,1.6403564453125,2.996337890625
0.9,0.2598388671875,1.02568359375,1.398779296875,1.8678955078125,2.9128173828125
1,0.2853515625,0.3181640625,0.318017578125,0.305322265625,0.3037109375
