Scaling Factor,INTER_NEAREST (ms),INTER_LINEAR (ms),INTER_CUBIC (ms),INTER_AREA (ms),INTER_LANCZOS4 (ms)
0.1,0.1263671875,0.29248046875,0.6126953125,2.6286376953125,1.8950439453125
0.2,0.252392578125,1.04306640625,2.226806640625,3.48251953125,4.908447265625
0.3,0.3400634765625,1.597900390625,2.1807861328125,4.6790771484375,4.10927734375
0.4,0.2876708984375,1.33564453125,2.0428955078125,3.094677734375,4.08955078125
0.5,0.338525390625,0.3908203125,1.7310791015625,0.58896484375,3.6498046875
0.6,0.3034423828125,1.2455810546875,1.610498046875,2.047265625,3.463232421875
0.7,0.4170166015625,1.2813232421875,1.7656005859375,2.3061279296875,3.555078125
0.8,0.4017822265625,2.0083251953125,2.09599609375,2.9821044921875,4.1575439453125
0.9,0.5561279296875,2.03916015625,2.86005859375,3.7261962890625,5.883203125
1,0.969189453125,0.9998291015625,0.98349609375,0.9875244140625,0.9799560546875
