Scaling Factor,INTER_NEAREST (kb),INTER_LINEAR (kb),INTER_CUBIC (kb),INTER_AREA (kb),INTER_LANCZOS4 (kb)
0.1,19.302734375,19.302734375,19.302734375,19.302734375,19.302734375
0.2,77.052734375,77.052734375,77.052734375,77.052734375,77.052734375
0.3,173.302734375,173.302734375,173.302734375,173.302734375,173.302734375
0.4,308.052734375,308.052734375,308.052734375,308.052734375,308.052734375
0.5,480.052734375,480.052734375,480.052734375,480.052734375,480.052734375
0.6,691.552734375,691.552734375,691.552734375,691.552734375,691.552734375
0.7,941.552734375,941.552734375,941.552734375,941.552734375,941.552734375
0.8,1230.052734375,1230.052734375,1230.052734375,1230.052734375,1230.052734375
0.9,1557.052734375,1557.052734375,1557.052734375,1557.052734375,1557.052734375
1,1920.052734375,1920.052734375,1920.052734375,1920.052734375,1920.052734375
