size,image_quality,1,2,4,8,16,32
14400,160x90,584,1020,1862,3815,10130,17086
16000,160x100,569,1193,1692,4231,10136,16752
19200,160x120,572,1092,2064,3960,8463,16782
43200,240x180,556,1263,2084,3985,8486,17023
57600,320x180,448,1220,1897,4212,10259,17076
64000,320x200,528,1087,1926,3943,10196,17185
76800,320x240,563,1200,1884,3898,9983,16756
129600,480x270,490,1126,1746,4120,10169,17113
144000,480x300,633,1195,1901,4046,10262,17178
172800,480x360,555,1154,1819,4005,10081,17295
230400,640x360,528,1161,1792,4069,10128,17062
256000,640x400,578,1209,1717,3912,9921,17201
307200,640x480,507,1132,1719,3843,10109,17279
360000,800x450,557,1168,1820,3892,10588,17649
400000,800x500,672,1140,1830,4068,10030,17718
480000,800x600,560,1071,1792,4000,10084,17834
589824,1024x576,509,1155,1859,3848,9714,17685
655360,1024x640,588,1106,1878,4156,10053,17739
786432,1024x768,527,1085,1896,4099,9995,17704
921600,1280x720,502,1140,1955,3792,10004,17690
1024000,1280x800,574,1125,1789,3834,10615,17769
1228800,1280x960,538,1398,1843,3997,10597,17637
1296000,1440x900,691,1037,1853,4018,10526,17836
1555200,1440x1080,445,1109,2029,4055,10573,17596
2073600,1920x1080,534,1006,1905,4519,10546,17727
