Nearest,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,         ,Linear,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,         ,Cubic,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,         ,Area,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,         ,Lanczos4,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,         
160x90,0.095,0.0792,0.0763,0.0857,0.0779,0.0757,0.0774,0.0779,0.0787,0.0347,         ,160x90,0.1382,0.1479,0.1575,0.171,0.1873,0.1963,0.2104,0.2312,0.2546,0.0371,         ,160x90,0.1982,0.2146,0.2401,0.2642,0.2925,0.321,0.3431,0.38,0.4204,0.0374,         ,160x90,0.1311,0.1404,0.1559,0.1702,0.0237,0.2037,0.2125,0.2332,0.26,0.0372,         ,160x90,0.516,0.5341,0.618,0.6752,0.8011,0.7623,0.8369,0.8943,1.0123,0.0367,         
160x100,0.0825,0.0801,0.0796,0.0798,0.0811,0.0798,0.0803,0.082,0.0837,0.0336,         ,160x100,0.1465,0.1571,0.1724,0.1858,0.2058,0.2181,0.2307,0.2451,0.2791,0.0381,         ,160x100,0.2114,0.2355,0.2631,0.2874,0.3263,0.35,0.3762,0.4061,0.4625,0.037,         ,160x100,0.1409,0.1521,0.1699,0.1849,0.0239,0.2209,0.2356,0.2473,0.2826,0.0382,         ,160x100,0.5538,0.5796,0.6687,0.7351,0.8324,0.8204,0.9076,0.9471,1.0778,0.0388,         
160x120,0.0936,0.0913,0.0934,0.0931,0.0919,0.092,0.0939,0.0977,0.0977,0.0358,         ,160x120,0.1663,0.181,0.1986,0.2188,0.2391,0.2527,0.2726,0.3024,0.3383,0.0404,         ,160x120,0.2455,0.2722,0.3142,0.3441,0.3778,0.4198,0.4478,0.5,0.561,0.04,         ,160x120,0.162,0.1768,0.1975,0.2179,0.0251,0.2543,0.2863,0.3092,0.3474,0.0391,         ,160x120,0.6278,0.6725,0.7853,0.8634,0.9261,0.9674,1.0553,1.1671,1.2855,0.0399,         
240x180,0.1805,0.1792,0.1813,0.1801,0.183,0.1974,0.1914,0.1899,0.1949,0.0648,         ,240x180,0.332,0.3645,0.412,0.4441,0.4828,0.5437,0.5952,0.6558,0.7156,0.0664,         ,240x180,0.4888,0.5559,0.6353,0.7041,0.783,0.903,0.9746,1.0856,1.2278,0.067,         ,240x180,0.3278,0.3616,0.4196,0.4498,0.0392,0.558,0.5925,0.6627,0.7235,0.0674,         ,240x180,1.2136,1.3534,1.5547,1.7048,1.8865,2.1332,2.329,2.4929,2.7878,0.0656,         
320x180,0.2386,0.2363,0.2375,0.2472,0.2573,0.2621,0.2489,0.2516,0.251,0.0864,         ,320x180,0.4291,0.4819,0.5441,0.597,0.6591,0.7153,0.7914,0.8494,0.8737,0.0884,         ,320x180,0.6223,0.7274,0.8354,0.9399,1.0554,1.1567,1.293,1.3824,1.5011,0.0889,         ,320x180,0.4219,0.4729,0.5312,0.5959,0.0479,0.7231,0.7942,0.8385,0.8857,0.0896,         ,320x180,2.0378,2.2053,2.2854,2.661,2.6681,3.1322,3.3883,3.5823,3.7747,0.0969,         
320x200,0.2637,0.2584,0.2587,0.2629,0.276,0.2816,0.2736,0.2811,0.2754,0.1044,         ,320x200,0.4719,0.531,0.5822,0.6443,0.7162,0.7812,0.8579,0.9633,0.9827,0.1023,         ,320x200,0.6829,0.7916,0.9059,1.0063,1.1461,1.2516,1.4147,1.5721,1.6497,0.1042,         ,320x200,0.4623,0.5222,0.5869,0.6439,0.0492,0.7924,0.8718,0.9749,1.0035,0.1056,         ,320x200,2.2382,2.4325,2.6743,2.6241,3.198,3.4114,3.6827,4.0054,4.2535,0.1063,         
320x240,0.3092,0.3048,0.3052,0.312,0.3248,0.3324,0.3231,0.3307,0.3267,0.1322,         ,320x240,0.5575,0.6278,0.7134,0.776,0.8599,0.9473,1.0298,1.0815,1.2751,0.1066,         ,320x240,0.8029,0.9728,1.0568,1.2361,1.3667,1.5402,1.6821,1.8854,1.9547,0.131,         ,320x240,0.5481,0.6119,0.6888,0.7715,0.0565,0.9503,1.0302,1.109,1.2723,0.1068,         ,320x240,2.6127,2.8739,2.6975,3.4845,3.7842,4.1266,4.4142,4.7682,5.0299,0.1278,         
480x270,0.3324,0.3051,0.303,0.3101,0.3173,0.3212,0.3262,0.3375,0.3507,0.1604,         ,480x270,0.553,0.5905,0.662,0.7622,0.8225,0.882,0.958,1.0808,1.1082,0.1614,         ,480x270,0.7762,0.8859,1.0133,1.155,1.3138,1.4523,1.5791,1.7238,1.8911,0.1614,         ,480x270,0.5442,0.6075,0.6544,0.7198,0.0835,0.9066,0.995,1.0797,1.1306,0.1586,         ,480x270,2.3175,2.5336,2.8954,3.0012,3.4122,3.6505,3.979,4.2532,4.5576,0.1611,         
480x300,0.3495,0.3263,0.3306,0.3309,0.3385,0.3676,0.3578,0.3667,0.3759,0.1787,         ,480x300,0.6012,0.6423,0.7384,0.8416,0.8783,0.9893,1.0923,1.1697,1.2479,0.1707,         ,480x300,0.8623,0.9606,1.1041,1.2655,1.4163,1.5781,1.7268,1.8853,2.0988,0.1892,         ,480x300,0.5894,0.6528,0.7198,0.821,0.0901,0.9935,1.1128,1.2086,1.2847,0.1876,         ,480x300,2.527,2.7173,3.1874,3.1604,3.7168,4.0535,4.417,4.7246,4.973,0.175,         
