TP- frame/model,yolov5,ssd,retinanet
1,2.0,2.0,0.0
2,1.5,2.0,0.0
4,1.5,2.0,0.0
8,2.0,2.0,0.0
16,1.0,2.0,0.0
32,1.0,2.0,0.0
