FN- frame/model,yolov5,ssd,retinanet
1,1.0,1.0,3.0
2,1.0,0.5,2.5
4,1.0,0.5,2.0
8,1.5,1.0,2.0
16,1.0,1.0,2.0
32,1.5,1.0,3.0
