recall- frame/model,yolov5,ssd,retinanet
1,0.5,0.8,0.0
2,0.583,0.875,0.0
4,0.5,0.833,0.0
8,0.5,0.75,0.0
16,0.5,0.8,0.0
32,0.5,0.8,0.0
