FP- frame/model,yolov5,ssd,retinanet
1,0.0,17.0,85.0
2,0.0,16.5,86.5
4,0.0,16.5,81.5
8,0.0,16.0,83.5
16,0.0,16.0,83.0
32,0.0,16.5,83.0
