accuracy- frame/model,yolov5,ssd,retinanet
1,0.5,0.105,0.0
2,0.686,0.106,0.0
4,1.0,0.111,0.0
8,1.0,0.118,0.0
16,1.0,0.108,0.0
32,1.0,0.111,0.0
