Scaling Factor,INTER_NEAREST (MAE),INTER_LINEAR (MAE),INTER_CUBIC (MAE),INTER_AREA (MAE),INTER_LANCZOS4 (MAE)
0.1,101.26868749999998,121.21927083333335,119.65045833333332,131.13418750000002,121.38552083333335
0.2,96.30881250000002,115.51641666666667,111.62597916666667,123.70189583333334,116.97883333333331
0.3,96.89116666666666,118.55774999999997,112.02668750000001,118.89235416666665,112.16695833333333
0.4,92.8794375,113.69414583333335,106.17366666666666,108.05345833333334,110.8885
0.5,69.40327083333332,101.93841666666665,105.07468750000001,95.91093750000002,120.28183333333337
0.6,91.9493125,103.14377083333332,94.29833333333332,102.41227083333334,109.6985
0.7,93.31395833333332,105.20406249999999,91.55331249999999,100.31316666666667,99.0311875
0.8,90.78285416666667,102.3944375,86.51606249999999,89.04060416666665,94.84400000000001
0.9,93.28110416666665,102.06727083333335,83.96668750000002,95.2326875,80.84289583333334
1,0.0,0.0,0.0,0.0,0.0
