Scaling Factor,INTER_NEAREST (PSNR),INTER_LINEAR (PSNR),INTER_CUBIC (PSNR),INTER_AREA (PSNR),INTER_LANCZOS4 (PSNR)
0.1,29.543473388378892,29.73386188978025,29.57431501555572,29.609656097377574,29.424286263022715
0.2,30.51164888996023,30.949535476764517,30.693147526454048,30.80069945460712,30.415244183086223
0.3,30.529677495108523,31.694525213683924,31.405243868550183,31.518063436011907,31.087810993250976
0.4,31.2584671475688,32.326964529245835,32.16222217284202,32.12870963101432,31.766919390378455
0.5,33.183383471785326,32.49020700612453,32.488338537255466,32.732953991064626,31.957636804716678
0.6,31.56284660390238,33.40447917646782,33.51609972596769,33.07998529150881,33.02571655086752
0.7,31.332241353164726,33.63302185983134,34.13363024684294,33.429854630612176,33.6821455373376
0.8,31.90614411352565,34.015213285107514,35.13328436388355,33.93557264573024,34.82543994426244
0.9,31.45450574053904,34.363099456007625,35.939091305172674,33.86789081173772,36.273889104885306
1,inf,inf,inf,inf,inf
