Scaling Factor,INTER_NEAREST (PSNR),INTER_LINEAR (PSNR),INTER_CUBIC (PSNR),INTER_AREA (PSNR),INTER_LANCZOS4 (PSNR)
0.1,30.75911159948742,31.240437303668394,30.76832259590379,31.055995262166995,30.477937185334277
0.2,32.095824556434074,32.54650145244182,32.23389449027275,32.39586211115289,31.92027656165933
0.3,32.22998735590379,33.36726899797976,33.01994750662806,33.1832879042861,32.62928315520072
0.4,32.94730500507206,34.010747751574506,33.86154394860945,33.87458340171361,33.442484689882754
0.5,35.078483574357115,34.28036448150895,34.21610974541877,34.72143767896317,33.648418430711686
0.6,33.302003287641476,35.28853838085234,35.46852544392003,34.94779567914713,34.94198203759692
0.7,33.00108858097009,35.625173158718916,36.262225740851534,35.32127333845183,35.81014055739899
0.8,33.66199304796068,35.94787894134112,37.20693290099501,35.855703651801846,36.98769162452549
0.9,33.16126521164294,36.315848856971726,38.1430183375006,35.740768178493745,38.6208475717039
1,inf,inf,inf,inf,inf
