Scaling Factor,INTER_NEAREST (MAE),INTER_LINEAR (MAE),INTER_CUBIC (MAE),INTER_AREA (MAE),INTER_LANCZOS4 (MAE)
0.1,98.42273871527777,115.36418402777778,114.76080729166668,120.65351996527781,121.79843315972224
0.2,94.41599826388891,103.0323697916667,101.88826822916667,107.0603689236111,111.035859375
0.3,95.9217404513889,105.11551649305554,102.54788194444447,99.50009548611112,102.26849392361112
0.4,90.78078125,96.45336805555554,91.56095920138888,87.03821614583332,97.69422743055556
0.5,62.320377604166666,79.19074218750002,87.10024739583334,74.79161024305554,111.83157118055556
0.6,89.12282118055556,87.30160156249998,76.90114583333333,83.4532595486111,95.57598958333334
0.7,91.66484809027779,88.11627170138888,72.05453993055553,81.37716145833335,77.29344618055553
0.8,86.4552126736111,82.26636284722223,66.14735243055556,66.99864583333331,73.27989583333331
0.9,91.40045572916667,83.39348958333333,64.4862109375,77.9393532986111,58.904535590277774
1,0.0,0.0,0.0,0.0,0.0
