Scaling Factor,INTER_NEAREST (MSE),INTER_LINEAR (MSE),INTER_CUBIC (MSE),INTER_AREA (MSE),INTER_LANCZOS4 (MSE)
0.1,54.59705295138889,48.86935763888889,54.481380208333334,50.98950954861112,58.24875434027778
0.2,40.13265624999999,36.17680555555556,38.8768359375,37.4536501736111,41.788107638888896
0.3,38.91182725694444,29.947009548611113,32.44035590277777,31.242916666666666,35.493763020833335
0.4,32.98753472222222,25.82293402777777,26.72550781249999,26.64538628472223,29.432821180555557
0.5,20.194448784722223,24.2685546875,24.630282118055558,21.924848090277777,28.06974826388889
0.6,30.40045138888889,19.240950520833334,18.45983506944444,20.81137586805556,20.83925347222222
0.7,32.58153211805556,17.805863715277777,15.376510416666665,19.096467013888887,17.063428819444447
0.8,27.9821484375,16.53074652777778,12.370494791666669,16.88534722222222,13.011015625000002
0.9,31.401749131944445,15.187821180555556,9.971914062500002,17.338181423611108,8.93296440972222
1,0.0,0.0,0.0,0.0,0.0
