size,image_quality,1,2,4,8,16,32
11,11kb,-41254,-41255,-41254,-41254,-41253,-41254
13,13kb,-41254,-41254,-41255,-41254,-41253,-41254
19,19kb,-41254,-41255,-41254,-41254,-41253,-41254
25,25kb,-41255,-41254,-41255,-41254,-41254,-41253
31,31kb,-41254,-41255,-41255,-41254,-41255,-41253
70,70kb,-41253,-41253,-41254,-41254,-41254,-41253
83,83kb,-41254,-41254,-41255,-41255,-41253,-41254
120,120kb,-41254,-41253,-41255,-41253,-41252,-41253
168,168kb,-41253,-41254,-41253,-41254,-41254,-41252
218,218kb,-41253,-41253,-41254,-41255,-41253,-41252
