size,image_quality,1,2,4,8,16,32,                               ,size,image_quality,1,2,4,8,16,32,                               ,size,image_quality,1,2,4,8,16,32,                               ,size,image_quality,1,2,4,8,16,32,                               ,size,image_quality,1,2,4,8,16,32,                               ,size,image_quality,1,2,4,8,16,32
11,11kb,12,15,20,35,66,132,,11,11kb,148,154,163,207,296,464,,11,11kb,9,9,9,9,10,10,,11,11kb,23,24,21,20,21,21,,11,11kb,44,88,175,352,704,1408,,11,11kb,205,389,748,1444,2898,5710
13,13kb,13,17,25,42,81,157,,13,13kb,150,165,173,218,323,505,,13,13kb,9,9,9,9,10,10,,13,13kb,23,24,20,20,22,21,,13,13kb,45,89,177,354,707,1416,,13,13kb,206,389,755,1446,2914,5727
19,19kb,13,17,25,44,84,167,,19,19kb,151,159,178,225,321,529,,19,19kb,9,9,9,9,10,10,,19,19kb,23,24,20,20,22,22,,19,19kb,45,89,177,354,708,1415,,19,19kb,205,393,749,1446,2894,5732
25,25kb,13,17,25,44,84,166,,25,25kb,152,163,179,222,331,535,,25,25kb,9,9,9,10,10,10,,25,25kb,23,24,20,20,22,21,,25,25kb,45,89,177,354,708,1417,,25,25kb,208,393,749,1453,2911,5708
31,31kb,13,17,25,44,84,166,,31,31kb,143,159,179,224,323,524,,31,31kb,9,9,9,9,10,10,,31,31kb,23,24,20,20,22,21,,31,31kb,45,89,177,357,714,1428,,31,31kb,206,386,758,1450,2894,5717
70,70kb,28,47,86,165,327,651,,70,70kb,163,188,264,404,679,1276,,70,70kb,10,9,9,9,10,10,,70,70kb,23,23,20,20,23,21,,70,70kb,45,89,179,357,713,1428,,70,70kb,206,391,758,1479,2913,5712
83,83kb,28,47,86,165,327,651,,83,83kb,163,187,269,406,687,1278,,83,83kb,9,9,9,9,10,10,,83,83kb,23,23,20,20,23,22,,83,83kb,45,89,179,358,715,1429,,83,83kb,208,389,762,1496,2934,5775
120,120kb,28,47,86,165,327,651,,120,120kb,168,187,267,402,684,1289,,120,120kb,9,9,9,9,10,10,,120,120kb,23,24,20,20,21,21,,120,120kb,45,89,178,357,713,1427,,120,120kb,212,392,761,1478,2923,5724
168,168kb,28,47,86,165,327,651,,168,168kb,163,186,271,403,683,1280,,168,168kb,9,9,9,9,10,10,,168,168kb,23,24,20,20,23,21,,168,168kb,45,89,178,356,713,1426,,168,168kb,204,393,761,1486,2908,5721
218,218kb,28,47,86,165,327,651,,218,218kb,161,187,273,406,679,1279,,218,218kb,9,9,9,9,10,10,,218,218kb,23,24,20,20,22,21,,218,218kb,45,89,178,357,713,1425,,218,218kb,208,389,752,1482,2920,5722
