size,image_quality,1,2,4,8,16,32,                               ,size,image_quality,1,2,4,8,16,32,                               ,size,image_quality,1,2,4,8,16,32
11,11kb,142,207,274,290,421,538,,11,11kb,79,110,149,166,246,320,,11,11kb,9,10,11,14,17,22
13,13kb,202,207,276,350,447,546,,13,13kb,107,111,150,198,254,331,,13,13kb,10,11,10,13,17,21
19,19kb,203,209,282,364,495,580,,19,19kb,111,113,154,208,278,352,,19,19kb,10,10,11,15,18,29
25,25kb,204,274,345,428,519,609,,25,25kb,111,147,187,242,317,338,,25,25kb,10,11,12,15,21,28
31,31kb,203,272,348,439,529,629,,31,31kb,111,148,193,248,303,353,,31,31kb,10,10,12,17,20,34
70,70kb,272,344,478,554,684,701,,70,70kb,147,191,272,330,452,603,,70,70kb,11,12,17,23,30,43
83,83kb,271,404,486,612,644,678,,83,83kb,152,223,295,354,553,705,,83,83kb,10,14,17,23,37,47
120,120kb,343,468,525,622,662,816,,120,120kb,186,239,319,467,619,841,,120,120kb,12,16,22,27,40,59
168,168kb,413,478,548,774,688,825,,168,168kb,224,291,379,565,685,1012,,168,168kb,13,16,26,37,44,79
218,218kb,423,532,552,677,745,896,,218,218kb,232,312,409,537,896,656,,218,218kb,16,22,23,40,58,99
