size,image_quality,1,2,4,8,16,32,                               ,size,image_quality,1,2,4,8,16,32,                               ,size,image_quality,1,2,4,8,16,32
14400,160x90,269,279,412,505,573,671,,14400,160x90,142,154,226,282,313,347,,14400,160x90,11,11,14,19,25,39
16000,160x100,269,280,423,513,579,628,,16000,160x100,144,154,232,325,325,471,,16000,160x100,11,12,15,23,28,42
19200,160x120,271,344,429,535,600,721,,19200,160x120,146,185,240,306,354,418,,19200,160x120,11,12,16,24,32,48
43200,240x180,347,448,551,620,725,1220,,43200,240x180,189,245,304,408,519,430,,43200,240x180,13,19,20,33,40,64
57600,320x180,408,502,619,621,745,861,,57600,320x180,223,270,343,509,621,939,,57600,320x180,15,20,27,40,56,92
64000,320x200,407,535,682,679,921,1986,,64000,320x200,229,292,388,534,748,942,,64000,320x200,16,20,26,41,58,90
76800,320x240,426,554,563,665,840,913,,76800,320x240,242,301,403,564,571,609,,76800,320x240,17,23,28,43,66,108
129600,480x270,487,583,647,739,847,1080,,129600,480x270,294,427,490,681,1030,1370,,129600,480x270,23,30,42,69,103,181
144000,480x300,488,600,684,754,929,1126,,144000,480x300,302,413,491,761,588,1433,,144000,480x300,21,34,43,63,105,182
172800,480x360,554,626,741,773,924,1788,,172800,480x360,329,355,586,884,1179,1472,,172800,480x360,27,35,58,90,146,255
230400,640x360,618,683,824,820,1063,2815,,230400,640x360,372,513,713,1020,1353,1745,,230400,640x360,32,41,70,112,194,357
256000,640x400,599,686,1051,1919,1077,3358,,256000,640x400,392,543,764,1047,1011,1756,,256000,640x400,29,49,73,128,210,383
307200,640x480,610,692,775,938,1671,1807,,307200,640x480,432,554,815,1178,1567,1768,,307200,640x480,35,55,80,143,244,427
360000,800x450,705,747,1527,1010,1324,3742,,360000,800x450,465,510,781,1132,1105,1416,,360000,800x450,39,59,93,164,288,533
400000,800x500,677,684,772,1067,1424,2286,,400000,800x500,418,435,741,1331,1526,2110,,400000,800x500,40,74,100,175,313,642
480000,800x600,784,687,861,1122,1538,2703,,480000,800x600,430,515,1013,1134,1835,2306,,480000,800x600,44,72,114,196,367,733
589824,1024x576,837,1267,1619,1182,3477,3202,,589824,1024x576,564,689,1160,1393,1827,2083,,589824,1024x576,44,84,135,222,444,945
655360,1024x640,1023,771,1268,1714,1892,3590,,655360,1024x640,571,740,1191,1570,1971,2646,,655360,1024x640,58,89,159,290,541,924
786432,1024x768,938,1024,997,1394,2250,3941,,786432,1024x768,628,907,858,1735,2119,2902,,786432,1024x768,67,104,172,310,592,1251
921600,1280x720,684,809,1050,1484,3037,4486,,921600,1280x720,702,877,1079,1660,2476,3063,,921600,1280x720,63,103,180,339,602,1219
1024000,1280x800,760,834,1068,1648,2841,4838,,1024000,1280x800,686,963,1115,1704,2090,3257,,1024000,1280x800,71,117,206,402,695,1386
1228800,1280x960,770,1084,1196,1835,3301,5782,,1228800,1280x960,658,865,1367,1432,2276,3367,,1228800,1280x960,84,131,238,498,957,1751
1296000,1440x900,806,929,1306,1873,3395,6059,,1296000,1440x900,737,823,1504,1445,2562,3777,,1296000,1440x900,84,138,245,436,966,1786
1555200,1440x1080,788,997,1367,2208,3927,7185,,1555200,1440x1080,824,1021,996,1955,2909,5049,,1555200,1440x1080,106,183,320,2820,1287,4472
2073600,1920x1080,873,1080,2132,2877,4932,9852,,2073600,1920x1080,756,1087,1690,2214,3373,6440,,2073600,1920x1080,115,204,399,712,1496,3814
