Scaling Factor,INTER_NEAREST (kb),INTER_LINEAR (kb),INTER_CUBIC (kb),INTER_AREA (kb),INTER_LANCZOS4 (kb)
0.1,3000.052734375,3000.052734375,3000.052734375,3000.052734375,3000.052734375
0.2,3000.052734375,3000.052734375,3000.052734375,3000.052734375,3000.052734375
0.3,3000.052734375,3000.052734375,3000.052734375,3000.052734375,3000.052734375
0.4,3000.052734375,3000.052734375,3000.052734375,3000.052734375,3000.052734375
0.5,3000.052734375,3000.052734375,3000.052734375,3000.052734375,3000.052734375
0.6,3000.052734375,3000.052734375,3000.052734375,3000.052734375,3000.052734375
0.7,3000.052734375,3000.052734375,3000.052734375,3000.052734375,3000.052734375
0.8,3000.052734375,3000.052734375,3000.052734375,3000.052734375,3000.052734375
0.9,3000.052734375,3000.052734375,3000.052734375,3000.052734375,3000.052734375
1,3000.052734375,3000.052734375,3000.052734375,3000.052734375,3000.052734375
