Scaling Factor,INTER_NEAREST (kb),INTER_LINEAR (kb),INTER_CUBIC (kb),INTER_AREA (kb),INTER_LANCZOS4 (kb)
0.1,36.052734375,36.052734375,36.052734375,36.052734375,36.052734375
0.2,144.052734375,144.052734375,144.052734375,144.052734375,144.052734375
0.3,324.052734375,324.052734375,324.052734375,324.052734375,324.052734375
0.4,576.052734375,576.052734375,576.052734375,576.052734375,576.052734375
0.5,900.052734375,900.052734375,900.052734375,900.052734375,900.052734375
0.6,1296.052734375,1296.052734375,1296.052734375,1296.052734375,1296.052734375
0.7,1764.052734375,1764.052734375,1764.052734375,1764.052734375,1764.052734375
0.8,2304.052734375,2304.052734375,2304.052734375,2304.052734375,2304.052734375
0.9,2916.052734375,2916.052734375,2916.052734375,2916.052734375,2916.052734375
1,3600.052734375,3600.052734375,3600.052734375,3600.052734375,3600.052734375
