Scaling Factor,INTER_NEAREST (kb),INTER_LINEAR (kb),INTER_CUBIC (kb),INTER_AREA (kb),INTER_LANCZOS4 (kb)
0.1,27.052734375,27.052734375,27.052734375,27.052734375,27.052734375
0.2,108.052734375,108.052734375,108.052734375,108.052734375,108.052734375
0.3,243.052734375,243.052734375,243.052734375,243.052734375,243.052734375
0.4,432.052734375,432.052734375,432.052734375,432.052734375,432.052734375
0.5,675.052734375,675.052734375,675.052734375,675.052734375,675.052734375
0.6,972.052734375,972.052734375,972.052734375,972.052734375,972.052734375
0.7,1323.052734375,1323.052734375,1323.052734375,1323.052734375,1323.052734375
0.8,1728.052734375,1728.052734375,1728.052734375,1728.052734375,1728.052734375
0.9,2187.052734375,2187.052734375,2187.052734375,2187.052734375,2187.052734375
1,2700.052734375,2700.052734375,2700.052734375,2700.052734375,2700.052734375
