Nearest_0.1,1,2,4,8,16,32,,Nearest_0.2,1,2,4,8,16,32,Nearest_0.3,1,2,4,8,16,32,Nearest_0.4,1,2,4,8,16,32,Nearest_0.5,1,2,4,8,16,32,Nearest_0.6,1,2,4,8,16,32,Nearest_0.7,1,2,4,8,16,32,Nearest_0.8,1,2,4,8,16,32,Nearest_0.9,1,2,4,8,16,32,Nearest_1,1,2,4,8,16,32,Linear_0.1,1,2,4,8,16,32,Linear_0.2,1,2,4,8,16,32,Linear_0.3,1,2,4,8,16,32,Linear_0.4,1,2,4,8,16,32,Linear_0.5,1,2,4,8,16,32,Linear_0.6,1,2,4,8,16,32,Linear_0.7,1,2,4,8,16,32,Linear_0.8,1,2,4,8,16,32,Linear_0.9,1,2,4,8,16,32,Linear_1,1,2,4,8,16,32,Cubic_0.1,1,2,4,8,16,32,Cubic_0.2,1,2,4,8,16,32,Cubic_0.3,1,2,4,8,16,32,Cubic_0.4,1,2,4,8,16,32,Cubic_0.5,1,2,4,8,16,32,Cubic_0.6,1,2,4,8,16,32,Cubic_0.7,1,2,4,8,16,32,Cubic_0.8,1,2,4,8,16,32,Cubic_0.9,1,2,4,8,16,32,Cubic_1,1,2,4,8,16,32,Area_0.1,1,2,4,8,16,32,Area_0.2,1,2,4,8,16,32,Area_0.3,1,2,4,8,16,32,Area_0.4,1,2,4,8,16,32,Area_0.5,1,2,4,8,16,32,Area_0.6,1,2,4,8,16,32,Area_0.7,1,2,4,8,16,32,Area_0.8,1,2,4,8,16,32,Area_0.9,1,2,4,8,16,32,Area_1,1,2,4,8,16,32,Lanczos4_0.1,1,2,4,8,16,32,Lanczos4_0.2,1,2,4,8,16,32,Lanczos4_0.3,1,2,4,8,16,32,Lanczos4_0.4,1,2,4,8,16,32,Lanczos4_0.5,1,2,4,8,16,32,Lanczos4_0.6,1,2,4,8,16,32,Lanczos4_0.7,1,2,4,8,16,32,Lanczos4_0.8,1,2,4,8,16,32,Lanczos4_0.9,1,2,4,8,16,32,Lanczos4_1,1,2,4,8,16,32
160x90,0.037,0.075,0.128,0.236,0.454,0.89,,160x90,0.065,0.062,0.114,0.224,0.442,0.92,160x90,0.066,0.062,0.115,0.225,0.449,0.914,160x90,0.065,0.062,0.114,0.223,0.441,0.914,160x90,0.065,0.062,0.114,0.226,0.441,0.885,160x90,0.065,0.062,0.115,0.224,0.446,0.91,160x90,0.065,0.062,0.115,0.224,0.452,0.953,160x90,0.066,0.062,0.114,0.226,0.458,0.894,160x90,0.066,0.062,0.115,0.225,0.446,0.907,160x90,0.021,0.022,0.033,0.057,0.111,0.21,160x90,0.052,0.082,0.141,0.266,0.52,1.034,160x90,0.075,0.077,0.143,0.28,0.557,1.111,160x90,0.084,0.082,0.154,0.309,0.596,1.197,160x90,0.089,0.089,0.167,0.327,0.65,1.349,160x90,0.095,0.096,0.179,0.353,0.723,1.426,160x90,0.1,0.103,0.192,0.376,0.766,1.549,160x90,0.11,0.107,0.203,0.4,0.827,1.629,160x90,0.117,0.113,0.216,0.426,0.863,1.722,160x90,0.122,0.118,0.229,0.452,0.891,1.807,160x90,0.02,0.021,0.033,0.056,0.11,0.225,160x90,0.328,0.61,1.172,2.354,4.689,9.374,160x90,0.2,0.389,0.728,1.424,2.87,5.681,160x90,0.177,0.315,0.586,1.129,2.35,4.511,160x90,0.155,0.278,0.517,1.03,2.09,4.097,160x90,0.136,0.253,0.473,0.926,1.889,3.715,160x90,0.176,0.253,0.468,0.911,1.83,3.614,160x90,0.159,0.248,0.453,0.91,1.779,3.525,160x90,0.139,0.261,0.478,0.938,1.88,3.713,160x90,0.19,0.268,0.491,0.971,1.958,3.902,160x90,0.021,0.02,0.031,0.056,0.11,0.217,160x90,0.042,0.067,0.127,0.251,0.505,1.01,160x90,0.073,0.076,0.142,0.276,0.55,1.108,160x90,0.083,0.084,0.158,0.307,0.616,1.252,160x90,0.09,0.09,0.167,0.328,0.648,1.321,160x90,0.099,0.094,0.178,0.352,0.701,1.444,160x90,0.102,0.102,0.193,0.382,0.758,1.555,160x90,0.113,0.11,0.213,0.411,0.842,1.637,160x90,0.132,0.127,0.238,0.471,0.941,1.875,160x90,0.126,0.121,0.239,0.474,0.928,1.887,160x90,0.02,0.021,0.031,0.058,0.11,0.213,160x90,0.357,0.663,1.312,2.582,5.182,10.376,160x90,0.557,0.714,1.404,2.82,5.615,11.168,160x90,0.526,0.756,1.488,3.017,5.96,11.902,160x90,0.548,0.821,1.581,3.209,6.365,12.655,160x90,0.619,0.858,1.696,3.386,6.756,13.441,160x90,0.686,0.907,1.826,3.603,7.211,14.314,160x90,0.727,0.989,1.898,3.81,7.587,15.049,160x90,0.779,1.006,2.005,3.989,7.913,15.758,160x90,0.784,1.047,2.11,4.187,8.332,16.63,160x90,0.019,0.021,0.036,0.06,0.111,0.222
160x100,0.043,0.085,0.134,0.253,0.495,0.997,,160x100,0.034,0.065,0.137,0.244,0.504,0.984,160x100,0.044,0.068,0.133,0.245,0.481,0.977,160x100,0.034,0.065,0.126,0.243,0.483,0.959,160x100,0.034,0.067,0.13,0.245,0.491,0.972,160x100,0.034,0.065,0.132,0.244,0.485,0.989,160x100,0.037,0.072,0.132,0.252,0.495,0.976,160x100,0.032,0.063,0.138,0.251,0.495,0.977,160x100,0.032,0.063,0.127,0.246,0.491,0.997,160x100,0.012,0.017,0.033,0.062,0.12,0.227,160x100,0.047,0.085,0.151,0.287,0.552,1.095,160x100,0.042,0.08,0.163,0.306,0.602,1.21,160x100,0.045,0.086,0.167,0.328,0.653,1.318,160x100,0.052,0.098,0.183,0.357,0.719,1.42,160x100,0.054,0.101,0.196,0.385,0.778,1.515,160x100,0.055,0.107,0.207,0.411,0.92,1.641,160x100,0.059,0.114,0.221,0.444,0.897,1.749,160x100,0.06,0.123,0.237,0.465,0.928,1.832,160x100,0.068,0.134,0.249,0.488,0.997,1.97,160x100,0.01,0.019,0.031,0.064,0.118,0.225,160x100,0.33,0.623,1.242,2.461,4.946,9.809,160x100,0.204,0.387,0.758,1.504,3.01,5.956,160x100,0.169,0.318,0.614,1.195,2.4,4.744,160x100,0.156,0.287,0.556,1.096,2.195,4.366,160x100,0.133,0.25,0.511,0.998,1.98,3.951,160x100,0.144,0.261,0.499,1.0,1.94,3.867,160x100,0.141,0.254,0.484,0.975,1.902,3.805,160x100,0.146,0.263,0.51,1.013,2.023,4.017,160x100,0.142,0.266,0.533,1.058,2.101,4.217,160x100,0.01,0.018,0.032,0.059,0.119,0.227,160x100,0.036,0.07,0.137,0.271,0.536,1.083,160x100,0.042,0.079,0.152,0.305,0.597,1.188,160x100,0.046,0.091,0.172,0.335,0.684,1.339,160x100,0.052,0.096,0.181,0.359,0.73,1.416,160x100,0.052,0.102,0.194,0.39,0.772,1.53,160x100,0.056,0.108,0.208,0.413,0.847,1.678,160x100,0.063,0.118,0.232,0.456,0.907,1.792,160x100,0.065,0.121,0.234,0.467,0.935,1.877,160x100,0.07,0.128,0.252,0.51,1.017,2.022,160x100,0.013,0.021,0.035,0.065,0.113,0.221,160x100,0.376,0.719,1.408,2.83,5.727,11.31,160x100,0.396,0.776,1.552,3.082,6.142,12.22,160x100,0.412,0.832,1.646,3.28,6.552,13.062,160x100,0.45,0.896,1.738,3.52,7.001,13.915,160x100,0.471,0.934,1.85,3.725,7.401,14.74,160x100,0.503,0.986,1.991,3.954,7.89,15.722,160x100,0.535,1.052,2.092,4.215,8.296,16.551,160x100,0.568,1.1,2.199,4.383,8.719,17.371,160x100,0.586,1.162,2.31,4.596,9.199,18.404,160x100,0.013,0.018,0.033,0.063,0.118,0.232
160x120,0.053,0.101,0.157,0.296,0.582,1.156,,160x120,0.039,0.074,0.145,0.304,0.577,1.117,160x120,0.051,0.079,0.151,0.295,0.577,1.136,160x120,0.039,0.075,0.148,0.299,0.576,1.144,160x120,0.047,0.091,0.15,0.3,0.579,1.125,160x120,0.05,0.081,0.152,0.299,0.572,1.146,160x120,0.048,0.083,0.152,0.301,0.588,1.159,160x120,0.039,0.083,0.151,0.289,0.573,1.154,160x120,0.038,0.073,0.144,0.294,0.576,1.164,160x120,0.012,0.019,0.035,0.066,0.133,0.25,160x120,0.051,0.096,0.172,0.326,0.633,1.258,160x120,0.048,0.092,0.179,0.371,0.7,1.408,160x120,0.052,0.099,0.194,0.382,0.762,1.516,160x120,0.059,0.12,0.222,0.429,0.86,1.721,160x120,0.06,0.116,0.225,0.447,0.885,1.762,160x120,0.069,0.128,0.25,0.488,0.967,1.917,160x120,0.077,0.144,0.267,0.519,1.029,2.061,160x120,0.069,0.137,0.275,0.551,1.086,2.171,160x120,0.077,0.156,0.292,0.58,1.143,2.321,160x120,0.011,0.019,0.034,0.067,0.131,0.251,160x120,0.358,0.682,1.356,2.711,5.386,10.77,160x120,0.228,0.426,0.843,1.647,3.296,6.577,160x120,0.188,0.35,0.675,1.335,2.641,5.257,160x120,0.169,0.317,0.626,1.213,2.443,4.845,160x120,0.141,0.278,0.56,1.103,2.218,4.443,160x120,0.158,0.295,0.563,1.097,2.204,4.372,160x120,0.151,0.292,0.549,1.113,2.179,4.343,160x120,0.163,0.297,0.587,1.145,2.307,4.576,160x120,0.158,0.306,0.604,1.205,2.409,4.82,160x120,0.011,0.02,0.035,0.066,0.128,0.251,160x120,0.041,0.08,0.156,0.312,0.618,1.251,160x120,0.053,0.092,0.177,0.35,0.711,1.385,160x120,0.058,0.106,0.202,0.408,0.773,1.58,160x120,0.059,0.113,0.218,0.435,0.849,1.72,160x120,0.06,0.115,0.227,0.444,0.876,1.764,160x120,0.07,0.13,0.249,0.484,0.965,1.919,160x120,0.082,0.141,0.269,0.544,1.056,2.081,160x120,0.07,0.142,0.277,0.542,1.092,2.159,160x120,0.075,0.15,0.297,0.591,1.188,2.352,160x120,0.014,0.023,0.036,0.065,0.131,0.256,160x120,0.427,0.839,1.682,3.331,6.664,13.258,160x120,0.469,0.913,1.826,3.626,7.205,14.372,160x120,0.489,0.992,1.931,3.874,7.691,15.377,160x120,0.516,1.042,2.08,4.136,8.239,16.458,160x120,0.562,1.1,2.202,4.386,8.728,17.414,160x120,0.594,1.172,2.351,4.686,9.349,18.71,160x120,0.629,1.257,2.46,5.043,9.865,19.674,160x120,0.658,1.311,2.602,5.184,10.297,20.604,160x120,0.692,1.365,2.732,5.463,10.874,21.766,160x120,0.012,0.02,0.041,0.067,0.144,0.261
320x180,0.147,0.293,0.4,0.796,1.559,3.07,,320x180,0.204,0.201,0.39,0.785,1.536,3.053,320x180,0.149,0.295,0.397,0.776,1.524,3.056,320x180,0.15,0.288,0.392,0.773,1.544,3.085,320x180,0.193,0.279,0.402,0.786,1.533,3.083,320x180,0.163,0.298,0.39,0.767,1.527,3.079,320x180,0.148,0.259,0.382,0.767,1.543,3.062,320x180,0.199,0.298,0.387,0.771,1.548,3.086,320x180,0.176,0.196,0.383,0.76,1.534,3.092,320x180,0.02,0.038,0.071,0.144,0.278,0.556,320x180,0.12,0.214,0.407,0.797,1.58,3.14,320x180,0.117,0.225,0.451,0.884,1.771,3.54,320x180,0.124,0.245,0.496,0.972,1.957,3.889,320x180,0.139,0.277,0.543,1.067,2.152,4.285,320x180,0.151,0.294,0.582,1.16,2.302,4.64,320x180,0.176,0.319,0.63,1.272,2.517,5.014,320x180,0.171,0.339,0.67,1.334,2.707,5.402,320x180,0.183,0.36,0.713,1.426,2.876,5.759,320x180,0.196,0.382,0.758,1.525,3.032,6.104,320x180,0.02,0.038,0.072,0.146,0.284,0.575,320x180,0.662,1.317,2.593,5.219,10.39,20.745,320x180,0.525,0.841,1.652,3.284,6.515,13.026,320x180,0.404,0.781,1.366,2.743,5.445,10.867,320x180,0.399,0.767,1.306,2.641,5.224,10.432,320x180,0.408,0.73,1.265,2.512,5.047,10.065,320x180,0.389,0.741,1.275,2.57,5.125,10.21,320x180,0.378,0.709,1.32,2.622,5.211,10.428,320x180,0.445,0.785,1.42,2.817,5.598,11.187,320x180,0.478,0.746,1.487,2.998,5.987,12.006,320x180,0.02,0.038,0.072,0.14,0.28,0.554,320x180,0.099,0.202,0.404,0.782,1.564,3.135,320x180,0.201,0.236,0.449,0.881,1.765,3.515,320x180,0.186,0.362,0.499,0.997,1.985,3.954,320x180,0.18,0.337,0.544,1.072,2.129,4.284,320x180,0.232,0.395,0.582,1.155,2.315,4.626,320x180,0.228,0.417,0.638,1.26,2.541,5.044,320x180,0.225,0.403,0.676,1.388,2.721,5.454,320x180,0.261,0.444,0.715,1.456,2.883,5.786,320x180,0.297,0.482,0.771,1.542,3.115,6.261,320x180,0.02,0.038,0.072,0.141,0.28,0.58,320x180,1.166,2.366,4.505,8.97,17.912,35.812,320x180,1.332,2.601,4.938,9.849,19.657,39.296,320x180,1.375,2.803,5.335,10.674,21.276,42.431,320x180,1.47,3.0,5.725,11.487,22.87,45.732,320x180,1.598,3.186,6.134,12.266,24.439,48.903,320x180,1.713,3.393,6.571,13.111,26.185,52.366,320x180,1.853,3.597,6.989,13.88,27.779,55.576,320x180,1.957,3.807,7.402,14.691,29.36,58.669,320x180,2.08,4.033,7.794,15.568,31.141,62.159,320x180,0.022,0.042,0.08,0.155,0.302,0.602
320x200,0.123,0.304,0.438,0.855,1.688,3.418,,320x200,0.218,0.218,0.432,0.84,1.714,3.385,320x200,0.119,0.226,0.432,0.853,1.678,3.379,320x200,0.113,0.215,0.426,0.862,1.708,3.417,320x200,0.11,0.213,0.424,0.849,1.695,3.41,320x200,0.139,0.213,0.429,0.839,1.704,3.397,320x200,0.212,0.215,0.427,0.845,1.707,3.396,320x200,0.107,0.22,0.427,0.846,1.724,3.443,320x200,0.107,0.276,0.423,0.847,1.698,3.406,320x200,0.022,0.042,0.086,0.164,0.306,0.635,320x200,0.124,0.234,0.444,0.867,1.739,3.483,320x200,0.134,0.245,0.49,0.974,1.942,3.883,320x200,0.147,0.281,0.541,1.075,2.121,4.295,320x200,0.153,0.299,0.597,1.18,2.357,4.708,320x200,0.17,0.326,0.639,1.276,2.549,5.102,320x200,0.177,0.347,0.695,1.37,2.771,5.559,320x200,0.189,0.375,0.738,1.488,2.98,5.938,320x200,0.199,0.392,0.795,1.579,3.184,6.341,320x200,0.212,0.418,0.833,1.682,3.35,6.697,320x200,0.021,0.042,0.08,0.154,0.314,0.61,320x200,0.69,1.379,2.727,5.482,10.918,21.762,320x200,0.544,0.872,1.742,3.457,6.888,13.733,320x200,0.377,0.841,1.455,2.908,5.796,11.562,320x200,0.363,0.808,1.405,2.808,5.583,11.158,320x200,0.382,0.686,1.362,2.735,5.448,10.869,320x200,0.384,0.696,1.377,2.776,5.536,11.012,320x200,0.462,0.714,1.411,2.855,5.671,11.334,320x200,0.381,0.766,1.518,3.055,6.103,12.176,320x200,0.407,0.869,1.624,3.27,6.516,13.034,320x200,0.021,0.041,0.08,0.154,0.302,0.611,320x200,0.118,0.221,0.43,0.874,1.726,3.461,320x200,0.248,0.255,0.495,0.971,1.949,3.87,320x200,0.15,0.386,0.551,1.076,2.171,4.355,320x200,0.161,0.371,0.593,1.181,2.36,4.709,320x200,0.198,0.323,0.633,1.262,2.553,5.096,320x200,0.208,0.346,0.686,1.392,2.769,5.567,320x200,0.296,0.378,0.745,1.498,3.004,5.995,320x200,0.199,0.401,0.79,1.58,3.214,6.361,320x200,0.242,0.529,0.846,1.72,3.424,6.818,320x200,0.022,0.041,0.078,0.152,0.3,0.614,320x200,1.26,2.598,4.975,9.913,19.801,39.507,320x200,1.374,2.836,5.464,10.883,21.71,43.389,320x200,1.502,3.088,5.879,11.754,23.484,46.902,320x200,1.607,3.311,6.359,12.711,25.308,50.663,320x200,1.716,3.551,6.797,13.526,27.027,54.107,320x200,1.827,3.75,7.271,14.502,28.988,57.983,320x200,1.959,3.85,7.731,15.377,30.73,61.386,320x200,2.067,4.075,8.157,16.279,32.465,64.882,320x200,2.207,4.476,8.637,17.238,34.491,68.913,320x200,0.024,0.045,0.088,0.169,0.334,0.679
320x240,0.142,0.308,0.511,1.01,2.032,4.047,,320x240,0.172,0.26,0.509,1.031,2.006,4.031,320x240,0.26,0.262,0.516,1.018,2.041,4.039,320x240,0.249,0.256,0.507,1.008,1.995,4.053,320x240,0.229,0.254,0.508,1.008,2.007,4.038,320x240,0.249,0.254,0.509,1.0,2.021,4.057,320x240,0.18,0.254,0.514,1.0,2.029,4.051,320x240,0.127,0.332,0.506,1.007,2.035,4.051,320x240,0.127,0.335,0.505,1.0,2.019,4.049,320x240,0.025,0.048,0.093,0.182,0.37,0.735,320x240,0.144,0.274,0.518,1.054,2.029,4.079,320x240,0.15,0.295,0.576,1.148,2.292,4.552,320x240,0.167,0.323,0.635,1.254,2.549,5.03,320x240,0.185,0.357,0.699,1.386,2.79,5.569,320x240,0.202,0.376,0.756,1.5,3.02,6.033,320x240,0.208,0.408,0.84,1.62,3.264,6.573,320x240,0.22,0.438,0.875,1.78,3.505,7.015,320x240,0.234,0.466,0.929,1.867,3.774,7.51,320x240,0.249,0.495,0.99,1.994,3.981,7.959,320x240,0.024,0.048,0.092,0.183,0.356,0.721,320x240,0.754,1.494,2.995,5.968,11.919,23.822,320x240,0.555,0.969,1.912,3.822,7.627,15.243,320x240,0.422,0.886,1.63,3.264,6.512,12.955,320x240,0.411,0.929,1.587,3.172,6.335,12.654,320x240,0.528,0.784,1.549,3.113,6.199,12.366,320x240,0.526,0.798,1.598,3.194,6.376,12.727,320x240,0.469,0.827,1.648,3.303,6.598,13.179,320x240,0.443,0.966,1.79,3.567,7.091,14.234,320x240,0.475,1.05,1.895,3.836,7.609,15.189,320x240,0.025,0.048,0.092,0.18,0.381,0.727,320x240,0.132,0.256,0.509,1.005,2.075,4.065,320x240,0.203,0.296,0.576,1.154,2.283,4.565,320x240,0.168,0.391,0.64,1.275,2.544,5.075,320x240,0.189,0.464,0.701,1.396,2.793,5.587,320x240,0.316,0.381,0.755,1.493,3.035,6.031,320x240,0.324,0.409,0.814,1.637,3.267,6.552,320x240,0.279,0.442,0.899,1.771,3.553,7.066,320x240,0.236,0.545,0.934,1.889,3.768,7.533,320x240,0.252,0.503,1.004,2.036,4.037,8.087,320x240,0.025,0.047,0.092,0.181,0.358,0.715,320x240,1.473,3.007,5.863,11.734,23.416,46.752,320x240,1.635,3.317,6.51,12.915,25.784,51.592,320x240,1.767,3.588,7.004,13.981,27.975,55.939,320x240,1.903,3.864,7.663,15.127,30.074,60.226,320x240,2.034,4.159,8.079,16.142,32.211,64.415,320x240,2.161,4.324,8.669,17.293,34.623,69.189,320x240,2.422,4.612,9.173,18.33,36.854,73.193,320x240,2.47,4.87,9.724,19.419,38.832,77.418,320x240,2.583,5.152,10.295,20.604,41.121,82.157,320x240,0.028,0.053,0.107,0.2,0.402,0.808
480x270,0.262,0.65,0.869,1.765,3.547,7.133,,480x270,0.457,0.438,0.884,1.766,3.519,7.169,480x270,0.45,0.625,0.897,1.738,3.516,7.05,480x270,0.459,0.456,0.889,1.797,3.646,7.292,480x270,0.452,0.659,0.895,1.786,3.586,7.207,480x270,0.462,0.65,0.907,1.822,3.646,7.262,480x270,0.463,0.668,0.897,1.836,3.654,7.214,480x270,0.468,0.662,0.893,1.799,3.608,7.168,480x270,0.251,0.604,0.885,1.811,3.637,7.226,480x270,0.037,0.073,0.159,0.288,0.568,1.182,480x270,0.239,0.414,0.789,1.598,3.235,6.403,480x270,0.251,0.684,0.926,1.845,3.712,7.386,480x270,0.29,0.731,1.056,2.086,4.194,8.465,480x270,0.317,0.582,1.172,2.405,4.792,9.496,480x270,0.566,0.663,1.314,2.638,5.259,10.453,480x270,0.573,0.727,1.463,2.875,5.853,11.689,480x270,0.615,0.793,1.564,3.182,6.335,12.496,480x270,0.67,0.851,1.724,3.379,6.772,13.447,480x270,0.699,1.134,1.823,3.629,7.243,14.409,480x270,0.038,0.073,0.143,0.296,0.574,1.12,480x270,1.047,2.094,4.184,8.343,16.69,33.31,480x270,0.845,1.375,2.75,5.49,10.931,21.872,480x270,0.661,1.438,2.397,4.828,9.671,19.179,480x270,0.632,1.429,2.408,4.809,9.581,19.161,480x270,0.755,1.424,2.393,4.808,9.576,19.092,480x270,0.471,0.665,1.173,2.615,4.96,9.634,480x270,0.411,0.608,1.052,2.385,4.433,8.786,480x270,0.426,0.623,1.121,2.604,4.675,9.217,480x270,0.367,0.656,1.175,2.495,4.753,9.371,480x270,0.037,0.074,0.144,0.281,0.563,1.129,480x270,0.225,0.402,0.793,1.59,3.267,6.401,480x270,0.443,0.457,0.92,1.821,3.648,7.333,480x270,0.362,0.725,1.048,2.096,4.219,8.445,480x270,0.355,0.773,1.168,2.395,4.763,9.491,480x270,0.57,0.857,1.33,2.717,5.302,10.594,480x270,0.569,0.908,1.418,2.951,5.79,11.497,480x270,0.634,1.008,1.553,3.163,6.371,12.41,480x270,0.661,1.059,1.668,3.386,6.783,13.715,480x270,0.701,1.126,1.814,3.672,7.367,14.563,480x270,0.038,0.072,0.145,0.282,0.571,1.145,480x270,1.927,3.973,7.799,15.195,30.151,61.717,480x270,2.056,4.302,8.399,17.151,32.327,64.638,480x270,2.168,4.606,8.732,17.164,34.294,68.092,480x270,2.34,4.826,9.196,18.324,36.667,72.631,480x270,2.456,5.035,9.651,19.084,38.264,75.808,480x270,2.691,5.209,10.277,20.676,40.776,80.85,480x270,2.798,5.545,10.644,21.042,42.049,84.134,480x270,2.976,5.657,11.117,22.071,44.083,87.959,480x270,3.087,6.686,15.23,25.439,46.104,92.176,480x270,0.043,0.083,0.161,0.318,0.64,1.27
480x300,0.245,0.694,0.97,1.961,3.939,7.944,,480x300,0.455,0.5,0.975,1.97,3.913,7.842,480x300,0.255,0.669,0.97,1.987,4.002,7.915,480x300,0.464,0.49,0.993,1.966,3.894,7.89,480x300,0.25,0.496,0.984,2.093,4.043,8.013,480x300,0.256,0.504,1.002,2.012,3.986,7.941,480x300,0.256,0.501,0.987,1.983,4.006,7.895,480x300,0.248,0.499,0.996,1.998,4.117,7.987,480x300,0.252,0.66,1.025,1.955,3.931,7.919,480x300,0.041,0.082,0.158,0.308,0.625,1.237,480x300,0.409,0.446,0.876,1.757,3.568,7.12,480x300,0.256,0.548,1.024,2.026,4.066,8.12,480x300,0.284,0.626,1.155,2.323,4.639,9.26,480x300,0.569,0.65,1.29,2.611,5.285,10.348,480x300,0.369,0.767,1.462,2.968,5.816,11.526,480x300,0.402,0.853,1.579,3.24,6.435,12.763,480x300,0.442,0.921,1.735,3.52,6.941,13.869,480x300,0.71,0.911,1.896,3.821,7.615,15.016,480x300,0.55,1.003,2.028,4.059,7.985,15.743,480x300,0.041,0.08,0.156,0.311,0.627,1.239,480x300,1.092,2.196,4.401,8.776,17.545,35.014,480x300,0.967,1.477,2.926,5.82,11.642,23.212,480x300,0.656,1.454,2.594,5.161,10.313,20.605,480x300,0.654,1.288,2.595,5.18,10.339,20.652,480x300,0.373,0.599,1.23,2.687,5.017,9.966,480x300,0.306,0.621,1.223,2.641,5.115,9.969,480x300,0.283,0.566,1.119,2.481,4.854,9.214,480x300,0.298,0.603,1.207,2.611,5.037,9.697,480x300,0.31,0.686,1.242,2.575,5.012,10.042,480x300,0.04,0.079,0.155,0.305,0.62,1.232,480x300,0.213,0.423,0.843,1.722,3.468,6.974,480x300,0.443,0.5,0.996,2.007,3.989,8.05,480x300,0.286,0.787,1.163,2.305,4.645,9.326,480x300,0.329,0.656,1.299,2.604,5.221,10.346,480x300,0.365,0.713,1.404,2.906,5.8,11.371,480x300,0.41,0.802,1.596,3.151,6.443,12.472,480x300,0.428,0.844,1.684,3.505,6.995,13.865,480x300,0.472,0.95,1.852,3.732,7.443,14.911,480x300,0.517,1.02,2.039,4.044,8.063,15.884,480x300,0.041,0.079,0.156,0.309,0.643,1.252,480x300,2.019,4.225,8.356,16.297,33.254,65.414,480x300,2.153,4.526,8.796,17.395,34.889,69.148,480x300,2.287,4.84,9.332,18.583,36.989,73.182,480x300,2.458,5.134,9.936,20.16,38.849,78.419,480x300,2.566,5.346,10.351,20.598,41.067,81.87,480x300,2.846,5.593,10.982,21.932,43.522,87.097,480x300,2.842,5.806,11.478,22.912,45.373,90.84,480x300,3.105,6.132,12.091,24.295,48.037,96.419,480x300,3.117,6.446,12.902,25.118,50.209,99.856,480x300,0.046,0.09,0.176,0.349,0.697,1.402
480x360,0.203,0.569,0.809,1.631,3.422,6.619,,480x360,0.362,0.403,0.816,1.611,3.232,6.561,480x360,0.205,0.571,0.808,1.632,3.33,6.584,480x360,0.383,0.41,0.821,1.651,3.3,6.694,480x360,0.388,0.413,0.817,1.659,3.313,6.587,480x360,0.394,0.414,0.818,1.641,3.381,6.586,480x360,0.396,0.41,0.816,1.729,3.286,6.74,480x360,0.209,0.573,0.829,1.77,3.291,6.613,480x360,0.21,0.617,0.825,1.694,3.293,6.578,480x360,0.047,0.094,0.183,0.364,0.741,1.478,480x360,0.279,0.398,0.783,1.546,3.168,6.325,480x360,0.3,0.434,0.872,1.728,3.524,7.004,480x360,0.333,0.489,0.988,1.963,3.915,7.885,480x360,0.277,0.637,1.107,2.282,4.505,8.931,480x360,0.389,0.611,1.216,2.584,4.996,9.851,480x360,0.52,0.666,1.324,2.818,5.267,10.667,480x360,0.546,0.728,1.455,2.935,5.934,11.622,480x360,0.48,0.786,1.629,3.171,6.336,12.563,480x360,0.501,0.848,1.786,3.365,6.729,13.582,480x360,0.047,0.093,0.182,0.363,0.731,1.477,480x360,1.204,2.419,4.848,9.657,19.257,38.497,480x360,0.677,1.063,2.088,4.422,8.675,16.83,480x360,0.457,0.857,1.56,3.413,6.375,12.742,480x360,0.531,0.729,1.437,3.136,5.941,11.616,480x360,0.414,0.656,1.281,2.857,5.458,10.583,480x360,0.424,0.668,1.34,2.993,5.613,10.903,480x360,0.405,0.627,1.25,2.774,5.261,10.241,480x360,0.423,0.918,1.671,3.448,6.784,13.45,480x360,0.444,0.95,1.841,3.567,7.079,14.166,480x360,0.047,0.092,0.181,0.358,0.721,1.442,480x360,0.19,0.396,0.774,1.528,3.122,6.198,480x360,0.377,0.432,0.852,1.722,3.435,6.905,480x360,0.249,0.661,0.983,1.977,3.942,8.024,480x360,0.466,0.55,1.09,2.231,4.431,8.947,480x360,0.492,0.604,1.214,2.634,4.885,9.828,480x360,0.513,0.669,1.339,2.869,5.507,10.853,480x360,0.567,0.739,1.474,2.942,5.939,11.905,480x360,0.399,0.936,1.578,3.177,6.402,12.648,480x360,0.433,1.049,1.711,3.423,6.986,13.666,480x360,0.048,0.093,0.184,0.363,0.731,1.447,480x360,2.233,4.57,8.942,17.895,33.069,60.179,480x360,2.145,4.102,9.765,20.603,36.914,65.845,480x360,2.281,5.225,10.499,20.864,41.056,70.386,480x360,2.121,4.572,9.23,19.556,42.605,67.784,480x360,2.221,4.631,9.082,17.897,35.629,72.849,480x360,2.891,5.659,11.228,20.295,37.517,75.638,480x360,3.011,5.871,12.189,26.071,42.818,86.076,480x360,2.681,5.282,10.392,20.45,41.103,81.526,480x360,3.731,7.475,14.939,23.911,42.83,86.974,480x360,0.054,0.105,0.208,0.411,0.819,1.637
