size,image_quality,1,2,4,8,16,32
14400,160x90,-41255,-41254,-41254,-41244,-41253,-41253
16000,160x100,-41256,-41254,-41254,-41253,-41254,-41253
19200,160x120,-41253,-41254,-41255,-41254,-41254,-41255
43200,240x180,-41254,-41253,-41254,-41253,-41253,-41252
57600,320x180,-41254,-41254,-41254,-41253,-41253,-41254
64000,320x200,-41253,-41254,-41254,-41254,-41254,-41254
76800,320x240,-41254,-41254,-41254,-41255,-41253,-41252
129600,480x270,-41253,-41254,-41252,-41253,-41253,-41247
144000,480x300,-41253,-41253,-41254,-41254,-41252,-41251
172800,480x360,-41253,-41252,-41253,-41252,-41251,-41245
230400,640x360,-41255,-41253,-41254,-41254,-41252,-41249
256000,640x400,-41254,-41253,-41252,-41251,-41242,-41242
307200,640x480,-41253,-41252,-41254,-41251,-41242,-41236
360000,800x450,-41252,-41252,-41254,-41249,-41242,-41234
400000,800x500,-41252,-41253,-41253,-41253,-41241,-41231
480000,800x600,-41253,-41253,-41252,-41252,-41237,-41228
589824,1024x576,-41253,-41253,-41251,-41252,-41238,-41208
655360,1024x640,-41253,-41252,-41249,-41247,-41239,-41207
786432,1024x768,-41254,-41253,-41252,-41250,-41232,-41199
921600,1280x720,-41253,-41253,-41251,-41246,-41230,-41190
1024000,1280x800,-41253,-41252,-41249,-41242,-41231,-41185
1228800,1280x960,-41253,-41253,-41252,-41240,-41210,-41175
1296000,1440x900,-41252,-41247,-41248,-41247,-41203,-41177
1555200,1440x1080,-41251,-41249,-41243,-41236,-41193,-41169
2073600,1920x1080,-41252,-41251,-41236,-41207,-41181,-41122
