Scaling Factor,INTER_NEAREST (PSNR),INTER_LINEAR (PSNR),INTER_CUBIC (PSNR),INTER_AREA (PSNR),INTER_LANCZOS4 (PSNR)
0.1,31.57916759251028,32.050518977446565,31.586410178339428,31.988623064832886,31.22870038094282
0.2,32.976591430251354,33.336646329835936,32.89397205629269,33.221980302246045,32.5435178263606
0.3,33.09096630636174,34.16490004140645,33.79363590209589,33.98647226283031,33.37991709539913
0.4,33.76262925621972,34.70122039632464,34.46620658636207,34.60657472335381,34.0186947416066
0.5,35.80305431182023,34.83555541250359,34.62275122643967,35.34883278354385,34.10966496816114
0.6,34.07290690983002,35.801044508683326,35.82102061149099,35.467952381775504,35.343431296016725
0.7,33.8104985085556,35.96708078867677,36.48665925525143,35.76066599720111,36.109882254263134
0.8,34.3805979524064,36.19515437130757,37.346681122591555,36.183214045917396,37.170434707360926
0.9,33.87520686390053,36.610650562616186,38.453097708121675,36.07666310639363,38.94228522459914
1,inf,inf,inf,inf,inf
