Scaling Factor,INTER_NEAREST (MSE),INTER_LINEAR (MSE),INTER_CUBIC (MSE),INTER_AREA (MSE),INTER_LANCZOS4 (MSE)
0.1,45.20261935763888,40.55351128472222,45.12729926215277,41.13562065972223,49.00160698784723
0.2,32.765833333333326,30.158916015625,33.39513129340277,30.965801866319445,36.20166775173612
0.3,31.914182942708333,24.922428385416662,27.14668294270833,25.96767903645833,29.859920789930563
0.4,27.341191406249997,22.027150607638884,23.25196723090278,22.51245659722222,25.77572482638889
0.5,17.09129340277778,21.356241319444447,22.428758680555553,18.97566840277778,25.241424696180555
0.6,25.455971137152776,17.099204644097224,17.02073459201389,18.462271050347223,18.999283854166666
0.7,27.04148328993056,16.457819010416667,14.6020703125,17.258925781250003,15.925465494791666
0.8,23.714860026041666,15.615824652777778,11.978770616319446,15.658817274305559,12.47489474826389
0.9,26.641561414930557,14.191075303819442,9.284758029513887,16.04774631076389,8.295677083333333
1,0.0,0.0,0.0,0.0,0.0
