Scaling Factor,INTER_NEAREST (ms),INTER_LINEAR (ms),INTER_CUBIC (ms),INTER_AREA (ms),INTER_LANCZOS4 (ms)
0.1,0.074609375,0.1675048828125,0.3137451171875,1.3842529296875,1.035986328125
0.2,0.1319580078125,0.5513427734375,1.1885009765625,1.9685546875,2.660400390625
0.3,0.2875244140625,1.2398681640625,2.149169921875,4.488232421875,4.2984375
0.4,0.2762939453125,1.101416015625,1.6244384765625,2.4811767578125,3.248828125
0.5,0.3296630859375,0.4720458984375,2.4816162109375,0.534814453125,4.379052734375
0.6,0.2493408203125,1.198046875,1.5197509765625,1.8708251953125,3.07314453125
0.7,0.346728515625,1.10947265625,1.599169921875,1.9790283203125,3.0967529296875
0.8,0.314404296875,1.10771484375,1.648095703125,1.8420654296875,3.390283203125
0.9,0.5439453125,1.0478271484375,1.499609375,1.929736328125,3.0348388671875
1,0.6101318359375,0.538623046875,0.557373046875,0.5602294921875,0.5560546875
