Scaling Factor,INTER_NEAREST (MSE),INTER_LINEAR (MSE),INTER_CUBIC (MSE),INTER_AREA (MSE),INTER_LANCZOS4 (MSE)
0.1,60.918812500000016,52.583937500000005,57.67274999999999,54.90807291666668,61.82774479166666
0.2,45.15024479166666,40.64470312499999,43.48980208333332,42.095010416666675,47.138802083333324
0.3,44.044921875,32.89959375,35.250499999999995,34.74722916666666,38.066020833333326
0.4,36.989890624999994,28.338885416666663,29.202552083333337,29.586401041666665,32.43958854166667
0.5,23.154020833333334,26.84511979166667,26.57766145833333,25.229604166666665,29.934932291666662
0.6,34.45572395833334,20.831557291666662,20.042859375000003,23.148968749999998,22.816291666666668
0.7,36.085718750000005,19.556734374999998,16.669510416666668,20.923953125,18.58971875
0.8,31.401869791666666,18.021562500000005,13.419510416666665,18.44424479166667,13.892911458333334
0.9,34.86835416666667,16.238734375000003,10.244036458333335,18.81471875,8.921552083333335
1,0.0,0.0,0.0,0.0,0.0
